task,window,time,accuracy,user_accuracies,user_confidences
1,10,"[2, 102, 202, 302, 402, 502, 602]","[1.0, 1.0, 0.9411764705882353, 1.0, 1.0, 1.0, 1.0]","{7: [1, 1, 1, 1, 1, 1], 8: [1, 1, 1], 10: [1, 1, 1, 1, 1, 1], 11: [1, 1, 1, 1, 1, 1], 13: [1, 1, 1, 1, 1], 14: [1, 1, 1, 1, 1, 1], 16: [1, 1, 1, 1, 1], 17: [1, 1, 1, 1, 1], 18: [1, 1, 1, 1], 20: [1, 1, 1], 21: [1, 1, 1, 1], 22: [1, 1, 1], 23: [1, 1, 1], 24: [1, 1, 0, 1], 25: [1, 1, 1, 1, 1], 26: [1, 1, 1], 27: [1, 1, 1, 1, 1, 1, 1]}","{7: [0.66, 1.0, 0.98, 0.97, 0.81, 0.75], 8: [0.84, 0.84, 1.0], 10: [0.69, 1.0, 0.59, 0.98, 0.99, 0.95], 11: [0.68, 0.8, 0.97, 0.98, 0.96, 0.68], 13: [0.66, 0.59, 0.99, 1.0, 1.0], 14: [0.68, 0.83, 0.97, 0.92, 1.0, 0.87], 16: [0.58, 1.0, 0.86, 0.97, 0.96], 17: [0.73, 0.33, 0.97, 0.83, 0.99], 18: [0.43, 0.74, 0.93, 1.0], 20: [0.67, 0.68, 0.96], 21: [0.7, 0.98, 0.87, 0.95], 22: [0.53, 0.95, 0.94], 23: [0.44, 0.98, 0.87], 24: [0.63, 0.98, 0.31, 0.88], 25: [0.58, 0.99, 1.0, 0.91, 0.94], 26: [0.78, 0.34, 1.0], 27: [0.72, 0.96, 0.92, 0.91, 0.82, 0.88, 1.0]}"
1,25,"[2, 102, 202, 302, 402, 502, 602]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{7: [1, 1, 1, 1, 1, 1], 8: [1, 1, 1], 10: [1, 1, 1, 1, 1, 1], 11: [1, 1, 1, 1, 1, 1], 13: [1, 1, 1, 1, 1], 14: [1, 1, 1, 1, 1, 1], 16: [1, 1, 1, 1, 1], 17: [1, 1, 1, 1, 1], 18: [1, 1, 1, 1], 20: [1, 1, 1], 21: [1, 1, 1, 1], 22: [1, 1, 1], 23: [1, 1, 1], 24: [1, 1, 1, 1], 25: [1, 1, 1, 1, 1], 26: [1, 1, 1], 27: [1, 1, 1, 1, 1, 1, 1]}","{7: [0.85, 0.99, 0.95, 0.99, 0.94, 0.93], 8: [0.81, 0.94, 0.95], 10: [0.69, 1.0, 0.67, 1.0, 1.0, 0.99], 11: [0.66, 0.88, 0.99, 0.91, 0.86, 0.66], 13: [0.64, 0.67, 1.0, 0.99, 1.0], 14: [0.75, 0.66, 0.99, 0.97, 1.0, 0.92], 16: [0.6, 1.0, 0.83, 0.99, 1.0], 17: [0.8, 0.5, 1.0, 0.92, 1.0], 18: [0.6, 0.9, 1.0, 1.0], 20: [0.66, 0.85, 0.98], 21: [0.77, 0.82, 0.89, 0.96], 22: [0.54, 0.95, 0.94], 23: [0.25, 0.99, 0.72], 24: [0.45, 1.0, 0.89, 1.0], 25: [0.61, 0.82, 1.0, 0.94, 1.0], 26: [0.88, 0.61, 0.98], 27: [0.63, 0.94, 0.99, 0.99, 1.0, 0.93, 1.0]}"
1,50,"[2, 102, 202, 302, 402, 502, 602]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{7: [1, 1, 1, 1, 1, 1], 8: [1, 1, 1], 10: [1, 1, 1, 1, 1, 1], 11: [1, 1, 1, 1, 1, 1], 13: [1, 1, 1, 1, 1], 14: [1, 1, 1, 1, 1, 1], 16: [1, 1, 1, 1, 1], 17: [1, 1, 1, 1, 1], 18: [1, 1, 1, 1], 20: [1, 1, 1], 21: [1, 1, 1, 1], 22: [1, 1, 1], 23: [1, 1, 1], 24: [1, 1, 1, 1], 25: [1, 1, 1, 1, 1], 26: [1, 1, 1], 27: [1, 1, 1, 1, 1, 1, 1]}","{7: [0.81, 1.0, 1.0, 1.0, 0.99, 0.95], 8: [0.86, 0.96, 1.0], 10: [0.65, 1.0, 0.56, 1.0, 1.0, 1.0], 11: [0.77, 0.95, 0.84, 0.98, 0.97, 0.62], 13: [0.66, 0.87, 1.0, 1.0, 1.0], 14: [0.74, 0.95, 0.99, 0.98, 0.93, 0.93], 16: [0.57, 1.0, 0.96, 1.0, 0.96], 17: [0.78, 0.4, 1.0, 0.94, 1.0], 18: [0.76, 0.9, 1.0, 1.0], 20: [0.72, 0.81, 0.98], 21: [0.75, 0.72, 0.97, 0.95], 22: [0.49, 0.93, 0.94], 23: [0.59, 0.96, 0.76], 24: [0.48, 0.97, 0.83, 1.0], 25: [0.62, 0.56, 1.0, 1.0, 0.95], 26: [0.75, 0.83, 0.99], 27: [0.78, 0.95, 1.0, 1.0, 1.0, 0.9, 1.0]}"
1,100,"[2, 102, 202, 302, 402, 502, 602]","[1.0, 0.8823529411764706, 1.0, 1.0, 1.0, 1.0, 1.0]","{7: [1, 1, 1, 1, 1, 1], 8: [1, 1, 1], 10: [1, 1, 1, 1, 1, 1], 11: [1, 1, 1, 1, 1, 1], 13: [1, 1, 1, 1, 1], 14: [1, 1, 1, 1, 1, 1], 16: [1, 1, 1, 1, 1], 17: [1, 0, 1, 1, 1], 18: [1, 1, 1, 1], 20: [1, 1, 1], 21: [1, 0, 1, 1], 22: [1, 1, 1], 23: [1, 1, 1], 24: [1, 1, 1, 1], 25: [1, 1, 1, 1, 1], 26: [1, 1, 1], 27: [1, 1, 1, 1, 1, 1, 1]}","{7: [0.72, 0.93, 1.0, 0.98, 0.98, 0.97], 8: [0.84, 0.97, 1.0], 10: [0.67, 0.99, 0.34, 0.98, 1.0, 0.95], 11: [0.81, 0.48, 0.82, 0.99, 0.95, 0.44], 13: [0.7, 0.92, 0.97, 1.0, 1.0], 14: [0.77, 0.89, 0.98, 0.98, 0.97, 1.0], 16: [0.67, 1.0, 0.96, 1.0, 0.93], 17: [0.78, 0.31, 0.97, 1.0, 1.0], 18: [0.71, 0.84, 1.0, 1.0], 20: [0.66, 0.93, 0.86], 21: [0.63, 0.34, 0.9, 1.0], 22: [0.48, 0.88, 0.98], 23: [0.59, 0.8, 0.79], 24: [0.41, 1.0, 0.87, 0.98], 25: [0.68, 0.52, 0.95, 0.93, 0.83], 26: [0.84, 0.88, 0.98], 27: [0.75, 0.99, 0.96, 1.0, 1.0, 0.95, 1.0]}"
2,10,"[2, 102, 202, 302, 402, 502, 602, 702, 802, 902]","[1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{7: [1, 1, 1, 1], 8: [1, 1, 1, 1], 9: [1, 1, 1, 1, 1], 10: [1, 1, 1, 1, 1], 11: [1, 1, 1, 1, 1, 1, 1, 1], 13: [1, 1, 1, 1, 1, 1, 1, 1], 14: [1, 1, 1, 1, 1, 1, 1], 15: [1, 0, 1, 1, 1, 1, 1, 1, 1], 16: [1, 1, 1, 1, 1, 1, 1], 17: [1, 1, 1, 1, 1], 18: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 19: [1, 0, 1, 1, 1], 20: [1, 1, 1, 1], 21: [1, 1, 1, 1], 22: [1, 1, 1, 1], 23: [1, 1, 1, 1], 24: [1, 1, 1, 1], 25: [1, 1, 1, 1], 26: [1, 1, 1, 1, 1], 27: [1, 1, 1, 1, 1, 1]}","{7: [0.7, 0.85, 0.84, 0.94], 8: [0.64, 0.93, 0.77, 0.98], 9: [0.76, 0.91, 0.64, 1.0, 1.0], 10: [0.84, 0.94, 0.95, 0.76, 0.59], 11: [0.77, 0.94, 0.92, 0.4, 0.89, 1.0, 0.87, 0.63], 13: [0.52, 0.78, 0.58, 1.0, 0.8, 1.0, 0.89, 1.0], 14: [0.75, 0.83, 0.8, 0.79, 0.99, 1.0, 0.8], 15: [0.51, 0.3, 0.94, 0.67, 0.81, 1.0, 0.94, 1.0, 0.92], 16: [0.72, 0.99, 0.99, 0.97, 1.0, 0.8, 1.0], 17: [0.83, 1.0, 1.0, 0.78, 0.96], 18: [0.79, 0.98, 0.87, 0.97, 0.79, 0.82, 0.93, 1.0, 1.0, 1.0], 19: [0.78, 0.19, 0.46, 0.75, 0.93], 20: [0.55, 0.9, 0.97, 0.96], 21: [0.36, 0.81, 0.99, 0.94], 22: [0.88, 0.71, 0.26, 0.96], 23: [0.29, 0.52, 0.51, 0.7], 24: [0.44, 0.9, 0.72, 1.0], 25: [0.48, 0.86, 0.99, 0.86], 26: [0.7, 0.98, 1.0, 0.97, 0.96], 27: [0.86, 0.81, 0.99, 0.61, 0.64, 0.86]}"
2,25,"[2, 102, 202, 302, 402, 502, 602, 702, 802, 902]","[0.95, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{7: [1, 1, 1, 1], 8: [1, 1, 1, 1], 9: [1, 1, 0, 1, 1], 10: [1, 1, 1, 1, 1], 11: [1, 1, 1, 1, 1, 1, 1, 1], 13: [1, 1, 1, 1, 1, 1, 1, 1], 14: [1, 1, 1, 1, 1, 1, 1], 15: [1, 1, 1, 1, 1, 1, 1, 1, 1], 16: [1, 1, 1, 1, 1, 1, 1], 17: [1, 1, 1, 1, 1], 18: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 19: [1, 1, 1, 1, 1], 20: [1, 1, 1, 1], 21: [1, 1, 1, 1], 22: [1, 1, 0, 1], 23: [0, 1, 1, 1], 24: [1, 1, 1, 1], 25: [1, 1, 1, 1], 26: [1, 1, 1, 1, 1], 27: [1, 1, 1, 1, 1, 1]}","{7: [0.74, 0.98, 0.6, 0.86], 8: [0.6, 0.95, 0.77, 0.91], 9: [0.72, 0.69, 0.44, 1.0, 1.0], 10: [0.88, 0.98, 0.68, 0.9, 0.64], 11: [0.77, 0.98, 0.85, 0.32, 0.96, 1.0, 1.0, 0.98], 13: [0.5, 0.85, 0.75, 1.0, 0.98, 0.97, 0.98, 0.91], 14: [0.65, 0.99, 0.84, 0.73, 1.0, 1.0, 0.93], 15: [0.63, 0.34, 0.98, 1.0, 0.97, 1.0, 0.96, 1.0, 1.0], 16: [0.75, 1.0, 1.0, 1.0, 0.87, 0.96, 1.0], 17: [0.85, 0.99, 1.0, 0.65, 1.0], 18: [0.76, 0.94, 0.98, 0.99, 0.91, 0.88, 0.91, 1.0, 1.0, 1.0], 19: [0.69, 0.43, 0.82, 0.82, 0.98], 20: [0.53, 0.99, 0.98, 1.0], 21: [0.42, 0.93, 1.0, 0.93], 22: [0.81, 0.85, 0.12, 0.82], 23: [0.17, 0.57, 0.86, 0.55], 24: [0.52, 0.93, 0.89, 0.98], 25: [0.57, 0.62, 1.0, 1.0], 26: [0.7, 0.98, 1.0, 0.97, 0.93], 27: [0.88, 0.81, 0.99, 0.8, 0.95, 0.96]}"
2,50,"[2, 102, 202, 302, 402, 502, 602, 702, 802, 902]","[0.95, 1.0, 0.95, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{7: [1, 1, 1, 1], 8: [1, 1, 1, 1], 9: [1, 1, 1, 1, 1], 10: [1, 1, 1, 1, 1], 11: [1, 1, 1, 1, 1, 1, 1, 1], 13: [1, 1, 1, 1, 1, 1, 1, 1], 14: [1, 1, 1, 1, 1, 1, 1], 15: [1, 1, 1, 1, 1, 1, 1, 1, 1], 16: [1, 1, 1, 1, 1, 1, 1], 17: [1, 1, 1, 1, 1], 18: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 19: [1, 1, 1, 1, 1], 20: [1, 1, 1, 1], 21: [1, 1, 1, 1], 22: [1, 1, 0, 1], 23: [0, 1, 1, 0], 24: [1, 1, 1, 1], 25: [1, 1, 1, 1], 26: [1, 1, 1, 1, 1], 27: [1, 1, 1, 1, 1, 1]}","{7: [0.61, 1.0, 0.82, 0.96], 8: [0.71, 0.95, 0.82, 0.82], 9: [0.74, 0.7, 0.5, 1.0, 1.0], 10: [0.82, 0.98, 0.49, 0.93, 0.8], 11: [0.74, 0.96, 1.0, 0.39, 0.91, 1.0, 1.0, 0.97], 13: [0.52, 0.95, 0.75, 1.0, 0.99, 0.97, 0.92, 0.98], 14: [0.72, 0.78, 0.64, 0.69, 0.96, 1.0, 1.0], 15: [0.58, 0.55, 0.92, 0.93, 1.0, 0.99, 0.96, 1.0, 1.0], 16: [0.73, 0.95, 1.0, 1.0, 0.93, 0.99, 1.0], 17: [0.78, 0.99, 0.98, 0.6, 1.0], 18: [0.79, 0.97, 0.96, 0.93, 0.98, 0.92, 0.93, 1.0, 1.0, 1.0], 19: [0.8, 0.81, 0.89, 0.94, 0.99], 20: [0.56, 0.82, 1.0, 1.0], 21: [0.38, 0.9, 0.97, 0.86], 22: [0.84, 0.76, 0.07, 0.81], 23: [0.25, 0.36, 0.81, 0.36], 24: [0.42, 0.86, 0.92, 0.99], 25: [0.6, 0.82, 1.0, 0.97], 26: [0.74, 0.99, 1.0, 0.99, 1.0], 27: [0.84, 0.93, 1.0, 0.79, 0.96, 0.93]}"
2,100,"[2, 102, 202, 302, 402, 502, 602, 702, 802, 902]","[0.95, 1.0, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{7: [1, 1, 1, 1], 8: [1, 1, 1, 1], 9: [1, 1, 1, 1, 1], 10: [1, 1, 1, 1, 1], 11: [1, 1, 1, 1, 1, 1, 1, 1], 13: [1, 1, 1, 1, 1, 1, 1, 1], 14: [1, 1, 1, 1, 1, 1, 1], 15: [1, 1, 1, 1, 1, 1, 1, 1, 1], 16: [1, 1, 1, 1, 1, 1, 1], 17: [1, 1, 1, 1, 1], 18: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 19: [1, 1, 1, 1, 1], 20: [1, 1, 1, 1], 21: [1, 1, 1, 1], 22: [1, 1, 0, 1], 23: [0, 1, 1, 1], 24: [1, 1, 1, 1], 25: [1, 1, 1, 1], 26: [1, 1, 1, 1, 1], 27: [1, 1, 1, 1, 1, 1]}","{7: [0.71, 0.6, 0.8, 0.96], 8: [0.57, 0.88, 0.83, 0.73], 9: [0.79, 0.48, 0.38, 1.0, 1.0], 10: [0.89, 0.85, 0.83, 0.91, 0.9], 11: [0.54, 0.97, 1.0, 0.48, 0.74, 1.0, 0.99, 0.94], 13: [0.53, 0.84, 0.48, 1.0, 0.92, 1.0, 1.0, 1.0], 14: [0.71, 0.84, 0.82, 0.77, 1.0, 1.0, 1.0], 15: [0.5, 0.45, 0.96, 0.99, 1.0, 1.0, 1.0, 1.0, 1.0], 16: [0.72, 0.91, 0.99, 0.99, 1.0, 1.0, 1.0], 17: [0.81, 1.0, 1.0, 0.57, 0.7], 18: [0.77, 0.97, 0.94, 0.99, 0.96, 0.97, 1.0, 1.0, 1.0, 0.97], 19: [0.7, 0.97, 0.98, 1.0, 0.89], 20: [0.41, 0.63, 1.0, 1.0], 21: [0.45, 0.85, 1.0, 0.85], 22: [0.79, 0.94, 0.11, 0.73], 23: [0.24, 0.55, 0.71, 0.29], 24: [0.42, 0.97, 0.99, 0.97], 25: [0.54, 0.85, 1.0, 0.95], 26: [0.74, 1.0, 0.99, 1.0, 1.0], 27: [0.88, 0.95, 1.0, 0.79, 0.97, 0.82]}"
3,10,"[2, 102, 202, 302, 402, 502, 602, 702, 802, 902, 1002, 1102, 1202, 1302]","[1.0, 0.9444444444444444, 1.0, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{7: [1, 1, 1, 1, 1, 1, 1], 8: [1, 1, 1, 1, 1, 1, 1], 9: [1, 0, 1, 1, 1], 10: [1, 1, 1, 1, 1], 11: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 13: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 15: [1, 1, 1, 1, 1], 16: [1, 1, 1, 1], 17: [1, 1, 1, 1, 1, 1, 1], 18: [1, 1, 1, 1, 1], 19: [1, 1, 1, 1], 21: [1, 1, 1, 1, 1, 1], 22: [1, 1, 1, 1, 1, 1, 1], 23: [1, 1, 1, 0], 24: [1, 1, 1, 1, 1, 1, 1], 25: [1, 1, 1, 1, 1], 26: [1, 1, 1, 1, 1, 1], 27: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}","{7: [0.77, 0.88, 0.96, 0.75, 0.83, 0.73, 1.0], 8: [0.68, 0.96, 0.84, 1.0, 0.85, 0.98, 0.97], 9: [0.7, 0.05, 1.0, 0.95, 1.0], 10: [0.52, 0.95, 0.87, 0.99, 0.85], 11: [0.64, 0.9, 0.85, 0.95, 0.97, 1.0, 0.99, 1.0, 1.0, 1.0], 13: [0.55, 0.99, 1.0, 0.63, 0.94, 0.93, 1.0, 1.0, 1.0, 0.98, 1.0, 0.95, 1.0], 15: [0.68, 0.7, 0.97, 0.95, 0.99], 16: [0.69, 0.9, 0.8, 0.68], 17: [0.62, 1.0, 0.34, 1.0, 0.45, 1.0, 0.76], 18: [0.75, 0.76, 0.63, 0.84, 0.8], 19: [0.71, 0.96, 0.74, 0.99], 21: [0.68, 0.74, 0.71, 0.98, 0.7, 1.0], 22: [0.64, 0.88, 0.97, 0.84, 0.84, 0.92, 0.54], 23: [0.6, 0.92, 0.55, 0.1], 24: [0.48, 1.0, 0.64, 0.77, 0.96, 0.77, 0.99], 25: [0.48, 0.77, 0.98, 0.58, 0.96], 26: [0.58, 0.97, 1.0, 0.69, 0.94, 0.97], 27: [0.77, 0.9, 0.73, 0.83, 0.53, 0.97, 0.96, 0.95, 1.0, 0.73, 1.0, 1.0, 1.0, 1.0]}"
3,25,"[2, 102, 202, 302, 402, 502, 602, 702, 802, 902, 1002, 1102, 1202, 1302]","[1.0, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{7: [1, 1, 1, 1, 1, 1, 1], 8: [1, 1, 1, 1, 1, 1, 1], 9: [1, 0, 1, 1, 1], 10: [1, 1, 1, 1, 1], 11: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 13: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 15: [1, 1, 1, 1, 1], 16: [1, 1, 1, 1], 17: [1, 1, 1, 1, 1, 1, 1], 18: [1, 1, 1, 1, 1], 19: [1, 1, 1, 1], 21: [1, 1, 1, 1, 1, 1], 22: [1, 1, 1, 1, 1, 1, 1], 23: [1, 1, 0, 0], 24: [1, 1, 1, 1, 1, 1, 1], 25: [1, 1, 1, 1, 1], 26: [1, 1, 1, 1, 1, 1], 27: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}","{7: [0.53, 1.0, 1.0, 0.71, 0.83, 1.0, 1.0], 8: [0.76, 1.0, 0.81, 1.0, 0.76, 1.0, 0.96], 9: [0.68, 0.02, 1.0, 0.92, 1.0], 10: [0.78, 0.99, 0.92, 1.0, 0.85], 11: [0.57, 0.98, 1.0, 0.92, 0.98, 1.0, 0.99, 1.0, 1.0, 1.0], 13: [0.62, 1.0, 1.0, 0.51, 0.93, 0.93, 1.0, 0.95, 1.0, 1.0, 1.0, 0.99, 1.0], 15: [0.74, 0.68, 0.98, 1.0, 0.98], 16: [0.69, 1.0, 0.9, 0.84], 17: [0.57, 1.0, 0.37, 0.99, 0.53, 1.0, 0.86], 18: [0.62, 0.74, 0.67, 1.0, 0.78], 19: [0.74, 1.0, 0.87, 1.0], 21: [0.77, 0.99, 0.92, 1.0, 0.62, 1.0], 22: [0.69, 0.93, 0.98, 1.0, 0.98, 1.0, 0.45], 23: [0.67, 0.9, 0.2, 0.08], 24: [0.58, 1.0, 0.72, 0.8, 0.99, 0.86, 1.0], 25: [0.44, 0.85, 0.97, 0.58, 1.0], 26: [0.73, 0.8, 0.99, 0.88, 0.99, 0.98], 27: [0.8, 0.97, 0.62, 0.8, 0.91, 0.97, 1.0, 0.91, 1.0, 0.71, 1.0, 1.0, 1.0, 0.92]}"
3,50,"[2, 102, 202, 302, 402, 502, 602, 702, 802, 902, 1002, 1102, 1202, 1302]","[1.0, 0.9444444444444444, 1.0, 1.0, 0.9333333333333333, 1.0, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{7: [1, 1, 1, 1, 1, 1, 1], 8: [1, 1, 1, 1, 1, 1, 1], 9: [1, 0, 1, 1, 1], 10: [1, 1, 1, 1, 1], 11: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 13: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 15: [1, 1, 1, 1, 1], 16: [1, 1, 1, 1], 17: [1, 1, 1, 1, 0, 1, 1], 18: [1, 1, 1, 1, 1], 19: [1, 1, 1, 1], 21: [1, 1, 1, 1, 1, 1], 22: [1, 1, 1, 1, 1, 1, 0], 23: [1, 1, 1, 1], 24: [1, 1, 1, 1, 1, 1, 1], 25: [1, 1, 1, 1, 1], 26: [1, 1, 1, 1, 1, 1], 27: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}","{7: [0.6, 0.99, 0.97, 0.92, 0.73, 0.99, 1.0], 8: [0.72, 1.0, 0.91, 1.0, 0.86, 1.0, 0.99], 9: [0.68, 0.0, 1.0, 0.95, 1.0], 10: [0.54, 1.0, 0.86, 1.0, 0.87], 11: [0.68, 1.0, 1.0, 0.52, 0.96, 1.0, 0.99, 1.0, 1.0, 1.0], 13: [0.65, 1.0, 1.0, 0.63, 0.91, 0.77, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 15: [0.79, 0.67, 0.99, 1.0, 0.98], 16: [0.8, 0.99, 0.96, 0.98], 17: [0.55, 1.0, 0.33, 0.98, 0.18, 1.0, 0.91], 18: [0.7, 0.83, 0.84, 0.96, 0.89], 19: [0.75, 1.0, 0.89, 0.98], 21: [0.7, 1.0, 0.93, 0.97, 0.49, 1.0], 22: [0.67, 0.98, 1.0, 0.6, 1.0, 0.99, 0.25], 23: [0.6, 0.93, 0.22, 0.44], 24: [0.62, 1.0, 0.5, 0.64, 0.99, 0.79, 1.0], 25: [0.33, 0.93, 0.96, 0.83, 0.98], 26: [0.52, 0.85, 0.98, 0.94, 1.0, 0.96], 27: [0.75, 1.0, 0.57, 0.8, 0.91, 1.0, 1.0, 0.9, 1.0, 0.88, 1.0, 1.0, 1.0, 1.0]}"
3,100,"[2, 102, 202, 302, 402, 502, 602, 702, 802, 902, 1002, 1102, 1202, 1302]","[1.0, 0.9444444444444444, 0.9444444444444444, 0.9444444444444444, 1.0, 1.0, 0.875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{7: [1, 1, 1, 1, 1, 1, 1], 8: [1, 1, 1, 1, 1, 1, 1], 9: [1, 0, 1, 1, 1], 10: [1, 1, 1, 1, 1], 11: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 13: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], 15: [1, 1, 1, 1, 1], 16: [1, 1, 1, 1], 17: [1, 1, 1, 1, 1, 1, 1], 18: [1, 1, 1, 1, 1], 19: [1, 1, 1, 1], 21: [1, 1, 1, 1, 1, 1], 22: [1, 1, 1, 1, 1, 1, 0], 23: [1, 1, 0, 0], 24: [1, 1, 1, 1, 1, 1, 1], 25: [1, 1, 1, 1, 1], 26: [1, 1, 1, 1, 1, 1], 27: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}","{7: [0.53, 0.99, 0.95, 0.98, 0.99, 1.0, 1.0], 8: [0.67, 0.99, 0.75, 1.0, 0.72, 0.99, 1.0], 9: [0.68, 0.0, 0.98, 0.95, 1.0], 10: [0.76, 1.0, 0.85, 1.0, 0.97], 11: [0.4, 0.99, 1.0, 0.54, 0.98, 1.0, 0.99, 1.0, 1.0, 1.0], 13: [0.68, 1.0, 1.0, 0.56, 0.88, 0.87, 1.0, 1.0, 0.97, 1.0, 1.0, 1.0, 1.0], 15: [0.74, 0.93, 1.0, 1.0, 0.96], 16: [0.78, 1.0, 0.97, 0.92], 17: [0.57, 1.0, 0.23, 1.0, 0.4, 1.0, 0.96], 18: [0.64, 0.76, 0.72, 0.97, 0.78], 19: [0.73, 1.0, 0.87, 0.99], 21: [0.71, 1.0, 0.87, 0.99, 0.45, 1.0], 22: [0.61, 0.99, 1.0, 0.92, 0.9, 0.99, 0.17], 23: [0.63, 0.94, 0.37, 0.34], 24: [0.63, 1.0, 0.26, 0.81, 0.99, 0.75, 0.99], 25: [0.41, 0.83, 0.99, 0.8, 0.97], 26: [0.61, 1.0, 0.99, 0.74, 0.99, 0.96], 27: [0.71, 1.0, 0.53, 0.82, 0.77, 0.99, 1.0, 0.95, 1.0, 0.95, 1.0, 1.0, 1.0, 0.87]}"
